제품명,상품url,가격,할인가격,브랜드,조회수,누적판매,좋아요,이미지url,남성구매비율,여성구매비율,~18세,19세~23세,24세~28세,29세~33세,34세~39세,40세~
N224UDW901 듀공 후드 숏기장 덕 다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2685576,299000,259000,내셔널지오그래픽,2.8만 회 이상,300개 이상,"1,487",//image.msscdn.net/images/goods_img/20220727/2685576/2685576_4_500.jpg?t=20220916155634,49%,51%,10%,23%,27%,15%,8%,17%
NC1DN00A 고 프리 다운 코트,https://www.musinsa.com/app/goods/2282452,329000,312550,노스페이스,4.7만 회 이상,800개 이상,"4,423",//image.msscdn.net/images/goods_img/20211224/2282452/2282452_1_500.jpg?t=20211224150841,47%,53%,12%,26%,40%,10%,2%,10%
Dyer Hooded Down Parka Black,https://www.musinsa.com/app/goods/2183757,316000,275000,에스피오나지,2.2만 회 이상,300개 이상,"1,344",//image.msscdn.net/images/goods_img/20211018/2183757/2183757_2_500.jpg?t=20221019154651,93%,7%,4%,16%,45%,20%,10%,5%
(VLADIMIR) 리버시블 다운 자켓_블랙,https://www.musinsa.com/app/goods/2838098,202000,129000,디미트리블랙,3.5만 회 이상,50개 이상,403,//image.msscdn.net/images/goods_img/20221004/2838098/2838098_3_500.jpg?t=20221012113538,87%,13%,2%,17%,37%,20%,11%,13%
NJ1DN84A 로프티 다운 자켓,https://www.musinsa.com/app/goods/2718006,279000,251100,노스페이스,2.9만 회 이상,200개 이상,"2,200",//image.msscdn.net/images/goods_img/20220816/2718006/2718006_1_500.jpg?t=20220816133307,39%,61%,20%,24%,23%,10%,4%,19%
네이비 세미오버핏 코듀로이 구스 다운 점퍼 (TNJU2F302N2),https://www.musinsa.com/app/goods/2850129,259000,233100,티엔지티,1.3만 회 이상,100개 이상,484,//image.msscdn.net/images/goods_img/20221011/2850129/2850129_1_500.jpg?t=20221011143812,95%,5%,2%,17%,36%,27%,11%,7%
[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_라이트그레이,https://www.musinsa.com/app/goods/1535334,124000,99900,코드그라피,10.3만 회 이상,5.1천 개 이상,"15,129",//image.msscdn.net/images/goods_img/20200803/1535334/1535334_3_500.jpg?t=20221102144005,69%,31%,14%,35%,22%,10%,6%,13%
블랙 옥스퍼드 하이넥 구스다운 점퍼 (TNJU2F206BK),https://www.musinsa.com/app/goods/2815888,259000,233100,티엔지티,1.6만 회 이상,200개 이상,574,//image.msscdn.net/images/goods_img/20220923/2815888/2815888_1_500.jpg?t=20220923151750,90%,10%,5%,8%,30%,42%,8%,7%
DUCK DOWN SHORT PUFFER BLACK,https://www.musinsa.com/app/goods/2837351,239000,203150,토니호크,8.6천 회 이상,50개 미만,441,//image.msscdn.net/images/goods_img/20221004/2837351/2837351_1_500.jpg?t=20221013131154,24%,76%,7%,47%,24%,7%,5%,10%
CORDUROY WARM UP+ SHORT PUFFER (PADDING) BROWN,https://www.musinsa.com/app/goods/2853386,219000,175200,예일,1.3만 회 이상,100개 이상,943,//image.msscdn.net/images/goods_img/20221012/2853386/2853386_6_500.jpg?t=20221028164108,50%,50%,5%,37%,33%,18%,2%,5%
[탈론지퍼] 2WAY 레더 다운 점퍼 579,https://www.musinsa.com/app/goods/1639802,298000,238400,에이징씨씨씨,3.1만 회 이상,600개 이상,"2,470",//image.msscdn.net/images/goods_img/20201008/1639802/1639802_3_500.jpg?t=20211118145600,93%,7%,11%,23%,28%,22%,11%,5%
덕다운 아르틱 워싱레더 패딩_Black,https://www.musinsa.com/app/goods/2929944,276000,138000,라퍼지스토어,3.1만 회 이상,200개 이상,"1,463",//image.msscdn.net/images/goods_img/20221109/2929944/2929944_1_500.jpg?t=20221117102622,85%,15%,2%,35%,32%,18%,7%,6%
남성 템페스트 콤보 다운 재킷 - 네로 / 21CTCUB03120999,https://www.musinsa.com/app/goods/2792687,1746000,1746000,텐씨,5.7천 회 이상,,47,//image.msscdn.net/images/goods_img/20220915/2792687/2792687_1_500.jpg?t=20221026091508,,,,,,,,
(우먼) 코듀로이 플리스 양털 패딩_크림,https://www.musinsa.com/app/goods/2744512,119000,89900,코드그라피,8.4만 회 이상,1.1천 개 이상,"7,883",//image.msscdn.net/images/goods_img/20220825/2744512/2744512_2_500.jpg?t=20221004145713,6%,94%,11%,46%,21%,7%,3%,12%
N224WDW770 여성 카이만 프로 롱기장 구스 다운 점퍼 SMALL LOGO BLACK,https://www.musinsa.com/app/goods/2685528,439000,369000,내셔널지오그래픽,1.4만 회 이상,200개 이상,"1,176",//image.msscdn.net/images/goods_img/20220727/2685528/2685528_5_500.jpg?t=20221026150959,21%,79%,6%,16%,38%,12%,7%,21%
REVERSIBLE WARM UP QUILTING JACKET NAVY / GRAY,https://www.musinsa.com/app/goods/2835517,129000,103200,예일,3.4만 회 이상,300개 이상,"2,291",//image.msscdn.net/images/goods_img/20221004/2835517/2835517_6_500.jpg?t=20221004164619,48%,52%,7%,32%,37%,15%,2%,7%
(22FW) WARM+ UP QUILTING JACKET LIGHT GRAY,https://www.musinsa.com/app/goods/2704966,99000,79200,예일,10.2만 회 이상,800개 이상,"4,369",//image.msscdn.net/images/goods_img/20220808/2704966/2704966_11_500.jpg?t=20221028171834,46%,54%,8%,29%,29%,15%,7%,12%
REVERSIBLE WARM UP QUILTING JACKET BEIGE,https://www.musinsa.com/app/goods/2835512,129000,103200,예일,2.2만 회 이상,200개 이상,"1,229",//image.msscdn.net/images/goods_img/20221004/2835512/2835512_6_500.jpg?t=20221004164649,52%,48%,6%,22%,36%,21%,7%,8%
(22FW) WARM+ UP QUILTING JACKET NAVY,https://www.musinsa.com/app/goods/2704964,99000,79200,예일,8.4만 회 이상,1.1천 개 이상,"2,973",//image.msscdn.net/images/goods_img/20220808/2704964/2704964_11_500.jpg?t=20221028171741,52%,48%,4%,20%,33%,21%,9%,13%
[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_크림,https://www.musinsa.com/app/goods/2744537,124000,99900,코드그라피,6.9만 회 이상,1.1천 개 이상,"4,334",//image.msscdn.net/images/goods_img/20220825/2744537/2744537_3_500.jpg?t=20221102143644,43%,57%,11%,30%,23%,12%,8%,16%
[21FW] CONTINENTAL BELTED GOOSE DOWN BLACK,https://www.musinsa.com/app/goods/2039480,359000,99000,메종미네드,1.8만 회 이상,200개 이상,941,//image.msscdn.net/images/goods_img/20210723/2039480/2039480_3_500.jpg?t=20211124154713,81%,19%,8%,30%,28%,12%,8%,14%
여성 크롭 숏푸퍼 덕다운 숏패딩 베이지,https://www.musinsa.com/app/goods/2686474,179000,143200,리,1.3만 회 이상,200개 이상,"1,359",//image.msscdn.net/images/goods_img/20220728/2686474/2686474_5_500.jpg?t=20220906160823,9%,91%,4%,29%,42%,10%,7%,8%
드로스트링 립스탑 구스 다운 자켓 GREY BROWN,https://www.musinsa.com/app/goods/2780179,299000,239200,인사일런스,1.4만 회 이상,100개 이상,572,//image.msscdn.net/images/goods_img/20220907/2780179/2780179_2_500.jpg?t=20220923165449,88%,12%,2%,22%,37%,24%,9%,6%
3M 신슐레이트 보아 플리스 무톤 자켓 블랙,https://www.musinsa.com/app/goods/1690700,111700,69900,파르티멘토,6.7만 회 이상,2.2천 개 이상,"11,240",//image.msscdn.net/images/goods_img/20201116/1690700/1690700_1_500.jpg?t=20201116171147,62%,38%,6%,37%,36%,13%,3%,5%
DIAGONAL SHORT PUFFER_BLACK,https://www.musinsa.com/app/goods/2839177,268000,241200,아웃스탠딩,1.3만 회 이상,100개 이상,651,//image.msscdn.net/images/goods_img/20221005/2839177/2839177_1_500.jpg?t=20221005180734,95%,5%,9%,30%,25%,21%,10%,5%
WARM UP+ SHORT PUFFER (PADDING) BEIGE,https://www.musinsa.com/app/goods/2853389,219000,175200,예일,1.4만 회 이상,50개 이상,845,//image.msscdn.net/images/goods_img/20221012/2853389/2853389_6_500.jpg?t=20221028163940,44%,56%,6%,35%,30%,12%,8%,9%
[구교환 착용] [무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Butter Cream,https://www.musinsa.com/app/goods/1611982,143000,89900,라퍼지스토어,5.3만 회 이상,2천 개 이상,"4,178",//image.msscdn.net/images/goods_img/20200918/1611982/1611982_8_500.jpg?t=20221018101202,56%,44%,14%,23%,22%,13%,7%,21%
[비건 레더] 3M 신슐레이트 페더리스 푸퍼 숏패딩 블랙,https://www.musinsa.com/app/goods/2848755,173800,121600,파르티멘토,6.8만 회 이상,600개 이상,"4,602",//image.msscdn.net/images/goods_img/20221007/2848755/2848755_1_500.jpg?t=20221011135538,77%,23%,13%,39%,25%,11%,6%,6%
SKADI DUCK DOWN - MATTE BLACK,https://www.musinsa.com/app/goods/2684074,249000,229080,노매뉴얼,6.6만 회 이상,600개 이상,"3,874",//image.msscdn.net/images/goods_img/20220727/2684074/2684074_1_500.jpg?t=20220802132827,63%,37%,13%,40%,25%,9%,3%,10%
크림 세미오버핏 코듀로이 구스 다운 점퍼 (TNJU2F302IV),https://www.musinsa.com/app/goods/2850130,259000,233100,티엔지티,1.1만 회 이상,100개 이상,528,//image.msscdn.net/images/goods_img/20221011/2850130/2850130_1_500.jpg?t=20221011143802,93%,7%,6%,15%,26%,37%,9%,7%
N224WDW920 여성 헤론 U넥 경량 덕 다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2728612,149000,149000,내셔널지오그래픽,6.1만 회 이상,2천 개 이상,"7,129",//image.msscdn.net/images/goods_img/20220819/2728612/2728612_4_500.jpg?t=20220819132705,18%,82%,13%,20%,19%,9%,9%,30%
N224MDW920 헤론 U넥 경량 다운 점퍼 BEIGE,https://www.musinsa.com/app/goods/2689352,149000,149000,내셔널지오그래픽,7만 회 이상,1.7천 개 이상,"4,772",//image.msscdn.net/images/goods_img/20220729/2689352/2689352_1_500.jpg?t=20220729170046,59%,41%,11%,23%,28%,14%,7%,17%
M콜드제로레이디다운자켓#2_BK,https://www.musinsa.com/app/goods/2801731,759000,459000,블랙야크,1.6만 회 이상,50개 이상,963,//image.msscdn.net/images/goods_img/20220919/2801731/2801731_3_500.jpg?t=20220929150007,21%,79%,10%,24%,33%,18%,7%,8%
KARAKORAM GOOSE DOWN PARKA_BLACK,https://www.musinsa.com/app/goods/1685348,395000,335750,아웃스탠딩,1.2만 회 이상,400개 이상,"1,510",//image.msscdn.net/images/goods_img/20201110/1685348/1685348_4_500.jpg?t=20221108144200,91%,9%,2%,6%,34%,38%,13%,7%
Hooded Down Jacket Brown,https://www.musinsa.com/app/goods/2874368,259000,181300,예스아이씨,1.1만 회 이상,100개 이상,739,//image.msscdn.net/images/goods_img/20221018/2874368/2874368_1_500.jpg?t=20221019153741,77%,23%,12%,31%,30%,14%,3%,10%
홀로 파이버 바시티 패딩_Charcoal,https://www.musinsa.com/app/goods/2854978,113000,79900,라퍼지스토어,1.7만 회 이상,100개 이상,"1,174",//image.msscdn.net/images/goods_img/20221012/2854978/2854978_1_500.jpg?t=20221013171546,88%,13%,8%,19%,28%,19%,16%,10%
PERTEX® T Down Jacket Desert,https://www.musinsa.com/app/goods/2814806,219000,197100,디스이즈네버댓,2.5만 회 이상,300개 이상,806,//image.msscdn.net/images/goods_img/20220923/2814806/2814806_1_500.jpg?t=20220928135719,43%,57%,7%,22%,29%,18%,9%,15%
레스터G RDS 구스다운 남성 롱패딩 (BLACK),https://www.musinsa.com/app/goods/2755394,399000,399000,디스커버리 익스페디션,1.2만 회 이상,100개 이상,567,//image.msscdn.net/images/goods_img/20220830/2755394/2755394_2_500.jpg?t=20221117170611,62%,38%,6%,16%,42%,18%,3%,15%
[리뉴얼ver]컨템포러리 몬스터파카 블랙 COOSJP028BLACK,https://www.musinsa.com/app/goods/1643839,259000,168300,세컨모놀로그,3.1만 회 이상,2.5천 개 이상,"11,198",//image.msscdn.net/images/goods_img/20201012/1643839/1643839_2_500.jpg?t=20201012171220,74%,26%,5%,15%,31%,26%,14%,9%
REVERSIBLE WARM UP QUILTING JACKET CHECK / BLACK,https://www.musinsa.com/app/goods/2835521,129000,103200,예일,3.5만 회 이상,300개 이상,"1,176",//image.msscdn.net/images/goods_img/20221004/2835521/2835521_6_500.jpg?t=20221004164528,35%,65%,3%,15%,29%,27%,12%,14%
RDS 커버라이트 카라리스 다운 점퍼 그레이,https://www.musinsa.com/app/goods/2081584,119000,83300,커버낫,5.4만 회 이상,1.8천 개 이상,"6,760",//image.msscdn.net/images/goods_img/20210823/2081584/2081584_4_500.jpg?t=20220908183412,54%,46%,12%,21%,25%,12%,8%,22%
롱 다운 벤치 파카 [블랙],https://www.musinsa.com/app/goods/2222924,179900,179900,무신사 스탠다드,1.8만 회 이상,500개 이상,"1,333",//image.msscdn.net/images/goods_img/20211109/2222924/2222924_1_500.jpg?t=20220922134537,66%,34%,4%,18%,38%,18%,10%,12%
리버서블 푸퍼_SPJDC4VC14,https://www.musinsa.com/app/goods/2037171,89900,69900,스파오,18.1만 회 이상,1.9만 개 이상,"34,004",//image.msscdn.net/images/goods_img/20210722/2037171/2037171_51_500.jpg?t=20221122134826,66%,34%,15%,35%,25%,12%,4%,9%
N224UDW901 듀공 후드 숏기장 덕 다운 점퍼 MC GREY,https://www.musinsa.com/app/goods/2685577,299000,259000,내셔널지오그래픽,1.1만 회 이상,100개 이상,750,//image.msscdn.net/images/goods_img/20220727/2685577/2685577_4_500.jpg?t=20220916155619,51%,49%,7%,23%,36%,15%,3%,16%
3M 신슐레이트 퀼팅자켓 블랙 FPJ201,https://www.musinsa.com/app/goods/2145689,169000,69000,플루크,6.4만 회 이상,4.1천 개 이상,"10,010",//image.msscdn.net/images/goods_img/20210924/2145689/2145689_8_500.jpg?t=20220118115213,74%,26%,8%,24%,34%,17%,8%,9%
[리뉴얼ver]컨템포러리 에어 포스 패딩 2 블랙 COOSJP027BLACK,https://www.musinsa.com/app/goods/1643832,149000,78900,세컨모놀로그,5.4만 회 이상,2.9천 개 이상,"9,767",//image.msscdn.net/images/goods_img/20201012/1643832/1643832_5_500.jpg?t=20211029110410,72%,28%,8%,31%,29%,18%,7%,7%
코듀로이 숏푸퍼 / WHJPC4V12F,https://www.musinsa.com/app/goods/2868046,99900,69930,후아유,3.1만 회 이상,300개 이상,"3,020",//image.msscdn.net/images/goods_img/20221017/2868046/2868046_5_500.jpg?t=20221017135757,8%,92%,15%,40%,20%,6%,5%,14%
RDS 씨빅 다운 숏 푸퍼 아이보리,https://www.musinsa.com/app/goods/2104281,179000,125300,커버낫,5.2만 회 이상,1.1천 개 이상,"4,672",//image.msscdn.net/images/goods_img/20210902/2104281/2104281_4_500.jpg?t=20221118145016,34%,66%,15%,22%,23%,11%,7%,22%
[구교환 착용] [무봉제]덕다운 심리스 미니멀 푸퍼 숏패딩_Mild khaki,https://www.musinsa.com/app/goods/1173379,143000,89900,라퍼지스토어,2.9만 회 이상,1.1천 개 이상,"6,056",//image.msscdn.net/images/goods_img/20191001/1173379/1173379_8_500.jpg?t=20221018101058,69%,31%,9%,22%,24%,20%,11%,14%
(22FW) WARM+ UP QUILTING JACKET BEIGE,https://www.musinsa.com/app/goods/2704963,99000,79200,예일,5.1만 회 이상,600개 이상,"1,495",//image.msscdn.net/images/goods_img/20220808/2704963/2704963_11_500.jpg?t=20221028171714,52%,48%,4%,17%,28%,21%,11%,19%
오버핏 2-WAY 더플 후드 숏패딩_카키,https://www.musinsa.com/app/goods/2834585,129000,99900,키뮤어,4.6만 회 이상,800개 이상,"3,133",//image.msscdn.net/images/goods_img/20221003/2834585/2834585_3_500.jpg?t=20221013155736,77%,23%,4%,25%,36%,20%,7%,8%
[리뉴얼ver]컨템포러리 에어 포스 패딩 2 다크그레이 COOSJP027D.GRAY,https://www.musinsa.com/app/goods/1643831,149000,78900,세컨모놀로그,3.2만 회 이상,2.4천 개 이상,"8,618",//image.msscdn.net/images/goods_img/20201012/1643831/1643831_5_500.jpg?t=20211029110438,81%,19%,6%,24%,30%,20%,13%,7%
오리지널 헤비 덕다운 M-1990 스웨덴 파카_Black,https://www.musinsa.com/app/goods/2211155,186000,69900,라퍼지스토어,4.9만 회 이상,3.1천 개 이상,"10,813",//image.msscdn.net/images/goods_img/20211102/2211155/2211155_2_500.jpg?t=20211105104815,70%,30%,4%,17%,35%,23%,11%,10%
TC4-JP06 로빈 후드 다운-블랙,https://www.musinsa.com/app/goods/2931454,297000,282150,토마스모어,4.6천 회 이상,50개 미만,194,//image.msscdn.net/images/goods_img/20221109/2931454/2931454_1_500.jpg?t=20221109174807,88%,12%,4%,28%,32%,8%,20%,8%
드로스트링 립스탑 구스 다운 자켓 BLUE GREY,https://www.musinsa.com/app/goods/2780178,299000,239200,인사일런스,1.6만 회 이상,100개 이상,554,//image.msscdn.net/images/goods_img/20220907/2780178/2780178_2_500.jpg?t=20220923165614,81%,19%,3%,25%,40%,17%,6%,9%
옥스포드 구스 다운 패딩 아이보리 KHOT5103,https://www.musinsa.com/app/goods/1166873,169000,169000,다이클레즈,600회 이상,50개 미만,257,//image.msscdn.net/images/goods_img/20190926/1166873/1166873_2_500.jpg?t=20190927151022,81%,19%,4%,19%,29%,24%,10%,14%
트위치 로고 카라리스 미들다운 자켓 블랙,https://www.musinsa.com/app/goods/2686486,129000,96750,리,4.8만 회 이상,900개 이상,"3,986",//image.msscdn.net/images/goods_img/20220728/2686486/2686486_3_500.jpg?t=20220906160709,29%,71%,14%,19%,27%,13%,6%,21%
N224WDW920 여성 헤론 U넥 경량 덕 다운 점퍼 BEIGE,https://www.musinsa.com/app/goods/2728610,149000,149000,내셔널지오그래픽,4.5만 회 이상,1.2천 개 이상,"4,450",//image.msscdn.net/images/goods_img/20220819/2728610/2728610_4_500.jpg?t=20220819132349,22%,78%,8%,21%,22%,13%,7%,29%
[RDS]코듀로이숏다운점퍼 - 2color MWDJ81B2,https://www.musinsa.com/app/goods/2831635,199000,159000,마인드브릿지,1.7만 회 이상,200개 이상,886,//image.msscdn.net/images/goods_img/20220930/2831635/2831635_4_500.jpg?t=20220930105022,81%,19%,8%,26%,31%,19%,9%,7%
레스터G RDS 구스다운 여성 롱패딩 (BLACK),https://www.musinsa.com/app/goods/2758330,399000,399000,디스커버리 익스페디션,2.2만 회 이상,200개 이상,"1,500",//image.msscdn.net/images/goods_img/20220831/2758330/2758330_2_500.jpg?t=20221114163721,18%,82%,9%,16%,37%,14%,5%,19%
B맥스벤치3다운자켓_BK,https://www.musinsa.com/app/goods/2862097,285000,199000,블랙야크,1.3만 회 이상,300개 이상,750,//image.msscdn.net/images/goods_img/20221014/2862097/2862097_2_500.jpg?t=20221020164415,46%,54%,6%,25%,35%,17%,5%,12%
WARM UP+ SHORT PUFFER (PADDING) YELLOW,https://www.musinsa.com/app/goods/2853385,219000,175200,예일,4.6천 회 이상,50개 미만,306,//image.msscdn.net/images/goods_img/20221012/2853385/2853385_6_500.jpg?t=20221028164136,30%,70%,2%,25%,30%,23%,5%,15%
BOA SHORT PUFFER BLOUSON (PADDING) BROWN,https://www.musinsa.com/app/goods/2853380,219000,175200,예일,8.9천 회 이상,50개 이상,537,//image.msscdn.net/images/goods_img/20221012/2853380/2853380_6_500.jpg?t=20221028164550,68%,32%,4%,35%,30%,16%,9%,6%
NBNPC41013 / UNI 액티브 숏 구스 다운자켓 (BLACK),https://www.musinsa.com/app/goods/2153567,279000,279000,뉴발란스,3.5만 회 이상,400개 이상,"4,974",//image.msscdn.net/images/goods_img/20210929/2153567/2153567_2_500.jpg?t=20221102143118,36%,64%,18%,24%,22%,11%,4%,21%
리버서블 플리스 숏 패딩 재킷 [라이트 그레이/아이보리],https://www.musinsa.com/app/goods/2653639,89900,89900,무신사 스탠다드,6.9만 회 이상,1천 개 이상,"5,103",//image.msscdn.net/images/goods_img/20220708/2653639/2653639_1_500.jpg?t=20221006193531,70%,30%,13%,35%,26%,11%,4%,11%
FOUL WEATHER DOWN PARKA_OLIVE GREEN,https://www.musinsa.com/app/goods/2857031,298000,268200,아웃스탠딩,1.2만 회 이상,50개 이상,504,//image.msscdn.net/images/goods_img/20221013/2857031/2857031_1_500.jpg?t=20221017095634,91%,9%,1%,9%,39%,23%,16%,12%
에센셜 숏 푸퍼 블랙,https://www.musinsa.com/app/goods/2900757,149000,104300,커버낫,4.7만 회 이상,700개 이상,"2,480",//image.msscdn.net/images/goods_img/20221027/2900757/2900757_1_500.jpg?t=20221027191435,61%,39%,15%,23%,18%,11%,9%,24%
Globe Quilted Jacket Black,https://www.musinsa.com/app/goods/2814789,199000,179100,디스이즈네버댓,1.5만 회 이상,200개 이상,957,//image.msscdn.net/images/goods_img/20220923/2814789/2814789_1_500.jpg?t=20220928142652,63%,37%,9%,25%,31%,18%,8%,9%
NJ1DN50K 화이트라벨 노벨티 눕시 다운 자켓,https://www.musinsa.com/app/goods/2671567,348000,348000,노스페이스,2.1만 회 이상,100개 이상,"1,518",//image.msscdn.net/images/goods_img/20220719/2671567/2671567_1_500.jpg?t=20220719163516,50%,50%,13%,18%,16%,26%,10%,17%
[호시 PICK] [PRIMALOFT] 몬스터 롱파카_블랙,https://www.musinsa.com/app/goods/2158902,184000,99000,코드그라피,7.9만 회 이상,2.2천 개 이상,"6,749",//image.msscdn.net/images/goods_img/20211001/2158902/2158902_4_500.jpg?t=20220930100539,78%,22%,6%,21%,34%,19%,11%,9%
N224WDW710 여성 레이만 숏기장 덕다운 점퍼 CARBON BLACK,https://www.musinsa.com/app/goods/2695051,279000,259000,내셔널지오그래픽,1.7만 회 이상,100개 이상,"1,559",//image.msscdn.net/images/goods_img/20220803/2695051/2695051_4_500.jpg?t=20220916160811,11%,89%,19%,21%,10%,7%,8%,35%
